image_path,left_palm_position
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/43.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/44.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/45.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/46.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/47.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/48.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/49.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/50.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/51.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/52.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/53.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/54.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/55.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/56.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/57.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/58.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/59.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/60.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/61.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/62.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/63.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/64.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/65.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/66.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/67.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/68.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/69.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/70.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/71.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/72.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/73.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/74.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/75.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/76.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/77.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/78.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/79.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/80.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/81.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/82.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/83.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/84.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/85.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/86.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/87.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/88.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/89.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/90.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/91.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/92.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/93.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/94.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/95.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/96.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/97.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/98.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/99.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/100.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/101.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/102.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/103.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/104.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/105.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/106.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/107.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/108.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/109.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/110.jpg,downwards
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/111.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/112.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/113.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/114.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/115.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/116.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/117.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/118.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/119.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/120.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/121.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/122.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/123.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/bed/hariharan_bed_1/124.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/31.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/32.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/33.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/34.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/35.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/36.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/37.jpg,towards body
/4TBHD/ISL/data_preparation/v2_40sign_videos_kpt_face/onlyface/hariharan/family/hariharan_family_1/38.jpg,towards body
