input_path,right_fingertips_orientation
/4TBHD/ISL/data_preparation/test_all/keypoints/Ranadeep/Bye/ranadeep_bye_6/41.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Stephen/Hello/stephen_hello_9/44.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Stephen/Bye/stephen_bye_2/41.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Dead/ishan_dead_9/62.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Hello/ishan_hello_2/40.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Sandeep/Hello/sandeep_hello_5/39.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Beautiful/ishan_beautiful_11/112.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Beautiful/ishan_beautiful_13/22.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Thankyou/ishan_thankyou_13/39.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Hello/ishan_hello_15/72.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Hello/ishan_hello_3/69.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Go/ishan_go_11/84.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Thankyou/ishan_thankyou_15/73.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Brush/ishan_brush_9/22.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Stephen/Bye/stephen_bye_17/46.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Dead/ishan_dead_3/48.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Rounit/Dead/rounit_dead_17/46.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Beautiful/ishan_beautiful_8/26.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Rounit/Thankyou/rounit_thankyou_15/29.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Beautiful/ishan_beautiful_18/28.npy,open
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Go/ishan_go_4/98.npy,open
