input_path,right_palm_position
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Dead/ishan_dead_13/51.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Dead/ishan_dead_11/41.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Vinayak/Dead/vinayak_dead_1/47.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Rounit/Dead/rounit_dead_6/38.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Surendhar/Good/surendhar_good_13/34.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Dead/ishan_dead_8/28.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_19/31.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Surendhar/Thankyou/surendhar_thankyou_9/42.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_3/25.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Cook/ishan_cook_1/58.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Rounit/Dead/rounit_dead_20/24.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_18/55.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Stephen/Dead/stephen_dead_18/44.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Varmija/Thankyou/varmija_thankyou_15/36.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Vinayak/Thankyou/vinayak_thankyou_18/46.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Beautiful/ishan_beautiful_15/16.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_2/77.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Sorry/ishan_sorry_13/79.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Anirudh/Sorry/anirudh_sorry_8/42.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_5/31.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_3/59.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Good/ishan_good_2/46.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Hello/ishan_hello_18/63.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Ishan/Cook/ishan_cook_14/86.npy,towards body
/4TBHD/ISL/data_preparation/test_all/shifted_origin_keypoints/Cindrella/Brush/cindrella_brush_15/47.npy,towards body
