Image Name,right_palm position keys
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/19.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/20.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/21.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/22.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/23.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/24.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/25.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/26.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/27.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/28.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/29.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/30.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/31.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/32.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/33.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/61.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/62.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/63.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/64.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/65.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/66.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/TRUE/67.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/6.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/bounce/7.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/3.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/4.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/5.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/6.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/7.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/8.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/9.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/10.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/11.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/12.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/13.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/14.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/15.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/16.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/17.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/18.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/19.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/20.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/21.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/22.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/23.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/24.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/25.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/26.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/27.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/28.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/29.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/30.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/31.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/33.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/34.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/35.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/36.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/37.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/38.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/39.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/40.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/41.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/42.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/43.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/44.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/45.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/46.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/47.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/48.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/49.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/50.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/51.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/52.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/53.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/54.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/face/55.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/3.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/4.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/5.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/6.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/7.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/8.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/9.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/10.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/11.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/12.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/13.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/14.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/15.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/16.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/17.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/18.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/19.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/20.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/21.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/22.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/23.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/56.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/57.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Bad/58.npy,towards body
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/85.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/86.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/87.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/88.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/89.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/90.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/91.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/92.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/93.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/94.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/95.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/Withdrawl/96.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/44.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/45.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/46.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/47.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/48.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/49.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/50.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/51.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/52.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/53.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/54.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/55.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/56.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/65.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/66.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/67.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/68.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/69.npy,upwards
/4TBHD/ISL/data_preparation/test_blank_keypoints/Keypointsw/fry/70.npy,upwards
