ai4b_summer_13, ai4b_car_19, ai4b_smalllittle_12
ai4b_i_4, ai4b_girl_14, ai4b_storeorshop_1
ai4b_thankyou_2, ai4b_paint_7, ai4b_storeorshop_5
ai4b_new_5, ai4b_hot_15, ai4b_black_9
ai4b_paint_9, ai4b_girl_15, ai4b_time_10
ai4b_biglarge_7, ai4b_car_5, ai4b_it_21
ai4b_biglarge_27, ai4b_hat_3, ai4b_brother_16
ai4b_long_15, ai4b_boy_3, ai4b_pen_3
ai4b_white_17, ai4b_fall_1, ai4b_hot_16
ai4b_loud_16, ai4b_court_3, ai4b_cow_14
ai4b_girl_17, ai4b_quiet_16, ai4b_boy_5
ai4b_loud_15, ai4b_brother_20, ai4b_goodmorning_5
ai4b_storeorshop_2, ai4b_cow_20, ai4b_black_10
ai4b_dog_8, ai4b_thankyou_8, ai4b_dog_11
ai4b_dry_14, ai4b_goodmorning_10, ai4b_bank_8
ai4b_biglarge_10, ai4b_happy_1, ai4b_car_12
ai4b_storeorshop_13, ai4b_dog_13, ai4b_priest_4
ai4b_long_5, ai4b_you(plural)_3, ai4b_window_13
ai4b_hot_4, ai4b_black_8, ai4b_you(plural)_4
ai4b_fan_4, ai4b_short_4, ai4b_loud_6
ai4b_boy_1, ai4b_new_11, ai4b_fall_9
ai4b_house_6, ai4b_hello_12, ai4b_white_11
ai4b_dry_2, ai4b_bird_24, ai4b_hat_16
ai4b_fan_14, ai4b_house_11, ai4b_t-shirt_5
ai4b_hello_2, ai4b_fan_7, ai4b_house_9
ai4b_new_16, ai4b_hello_8, ai4b_white_14
ai4b_red_7, ai4b_long_11, ai4b_new_15
ai4b_window_1, ai4b_loud_17, ai4b_biglarge_16
ai4b_it_6, ai4b_house_4, ai4b_hat_20
ai4b_biglarge_13, ai4b_thankyou_7, ai4b_red_5
ai4b_hello_4, ai4b_paint_11, ai4b_election_6
ai4b_cellphone_1, ai4b_cow_16, ai4b_happy_16
ai4b_priest_5, ai4b_quiet_20, ai4b_goodmorning_14
ai4b_fan_15, ai4b_fall_3, ai4b_monday_9
ai4b_girl_11, ai4b_red_9, ai4b_short_5
ai4b_you(plural)_20, ai4b_happy_17, ai4b_biglarge_25
ai4b_bird_5, ai4b_teacher_6, ai4b_trainticket_13
ai4b_death_12, ai4b_priest_13, ai4b_biglarge_23
ai4b_teacher_9, ai4b_cellphone_8, ai4b_short_3
ai4b_house_18, ai4b_hot_12, ai4b_dry_7
ai4b_cellphone_11, ai4b_death_11, ai4b_loud_4
ai4b_hello_21, ai4b_summer_14, ai4b_long_14
ai4b_it_1, ai4b_father_7, ai4b_t-shirt_17
ai4b_dry_18, ai4b_biglarge_4, ai4b_father_20
ai4b_goodmorning_21, ai4b_storeorshop_19, ai4b_i_15
ai4b_dry_6, ai4b_good_18, ai4b_dry_21
ai4b_fan_1, ai4b_cellphone_13, ai4b_paint_2
ai4b_biglarge_6, ai4b_boy_20, ai4b_hello_16
ai4b_red_12, ai4b_biglarge_9, ai4b_house_14
ai4b_pen_9, ai4b_shoes_4, ai4b_storeorshop_10
ai4b_white_20, ai4b_bird_11, ai4b_election_3
